layer_size,activation,solver,iter,clf_time,learn_time,presicion
100,tanh,sgd|constant,300,1.03794527053833,1960.7319946289065,0.9504113080755416
100,tanh,sgd|constant,400,1.042949676513672,2615.6241896152496,0.954003012397173
100,tanh,sgd|invscaling,200,1.045952558517456,84.9293167591095,0.8688062410690148
100,tanh,sgd|invscaling,300,1.0529587268829346,84.8422384262085,0.8679565905843278
100,tanh,sgd|invscaling,400,1.0529584884643557,84.71111869812012,0.8684972772564014
100,tanh,sgd|adaptive,200,1.0429494380950928,1302.4757368564606,0.9472444289962538
100,tanh,sgd|adaptive,300,1.0529584884643557,1949.261552333832,0.9496775190205848
100,tanh,sgd|adaptive,400,1.0449516773223877,2597.6087894439697,0.95496852431159
100,tanh,adam,200,1.0399470329284668,1317.723618268967,0.9545436990692464
100,tanh,adam,300,1.0629675388336182,1976.688520908356,0.9514926814196888
100,tanh,adam,400,1.0619666576385498,2633.8347685337067,0.9478623566214808
100,relu,lbfgs,200,0.2972702980041504,692.1817812919617,0.9592167767350248
100,relu,lbfgs,300,0.3303029537200928,1063.883529663086,0.9555092109836636
100,relu,lbfgs,400,0.3042778968811035,1415.5416688919067,0.9534237052485228
100,relu,sgd|constant,200,0.3042774200439453,726.8707222938538,0.9552388676476268
100,relu,sgd|constant,300,0.300271987915039,1089.0464367866516,0.957749198625111
100,relu,sgd|constant,400,0.2992725372314453,1453.7484514713287,0.9584443672034912
100,relu,sgd|invscaling,200,0.3012721538543701,54.559669971466064,0.8695786506005484
100,relu,sgd|invscaling,300,0.2972710132598877,54.223363637924194,0.8718958791951492
100,relu,sgd|invscaling,400,0.3092808723449707,54.73382735252381,0.8711620901401923
100,relu,sgd|adaptive,200,0.3222932815551758,725.5134871006012,0.95508438574132
100,relu,sgd|adaptive,300,0.323293924331665,1089.4648177623749,0.9574016143359207
100,relu,sgd|adaptive,400,0.3132846355438232,1453.412145614624,0.958830571969258
100,relu,adam,200,0.3052775859832763,685.3829531669617,0.9583285057737612
100,relu,adam,300,0.2992727756500244,599.7279756069183,0.9574402348124976
100,relu,adam,400,0.2992713451385498,642.473890542984,0.9583285057737612
200,identity,lbfgs,200,0.4594192504882812,45.52944850921631,0.871084849187039
200,identity,lbfgs,300,0.4474084377288818,49.047651052474976,0.8707372648978489
200,identity,lbfgs,400,0.454413890838623,55.94292902946472,0.8706214034681188
200,identity,sgd|constant,200,0.4544136524200439,64.08233737945557,0.8710076082338856
200,identity,sgd|constant,300,0.4734315872192383,66.20627164840698,0.8710462287104623
200,identity,sgd|constant,400,0.502457857131958,62.41381812095642,0.8710462287104623
200,identity,sgd|invscaling,200,0.5044605731964111,53.89006757736206,0.8669910786699108
200,identity,sgd|invscaling,300,0.4934492111206054,53.97914099693298,0.8681883134437879
200,identity,sgd|invscaling,400,0.5024583339691162,54.077229499816895,0.8683814158266713
200,identity,sgd|adaptive,200,0.4594180583953857,290.65960788726807,0.8708531263275788
200,identity,sgd|adaptive,300,0.4954514503479004,290.16816115379333,0.8708531263275788
200,identity,sgd|adaptive,400,0.4694263935089111,294.62421703338623,0.8708917468041556
200,identity,adam,200,0.4764337539672851,166.90694785118103,0.871084849187039
200,identity,adam,300,0.4954507350921631,196.666038274765,0.8705441625149655
200,identity,adam,400,0.4514105319976806,174.78311848640442,0.8707758853744255
200,logistic,lbfgs,200,2.190995693206787,501.80883169174194,0.8708531263275788
200,logistic,lbfgs,300,2.240037202835083,501.8248496055603,0.8711234696636156
200,logistic,lbfgs,400,2.190994501113892,690.9179909229279,0.8713551925230757
200,logistic,sgd|constant,200,2.2020044326782227,471.123898267746,0.871200710616769
200,logistic,sgd|constant,300,2.183988332748413,483.4541230201721,0.8705441625149655
200,logistic,sgd|constant,400,2.205007076263428,483.583240032196,0.8715096744293824
200,logistic,sgd|invscaling,200,2.1959986686706543,359.8065583705902,0.8348588421581122
